,Eigen-Patient
CHST11,-0.15600479744830875
ALDH1A3,-0.15581404603055826
ARRDC3,-0.15527598345639956
6-Sep,-0.15501265023486724
VCL,-0.15413523938647272
SLC7A5,-0.15406842667336265
AGRN,-0.15329425803851476
RFTN1,-0.15328661802998092
LY75,-0.15323395558366765
FMO2,-0.1532060867608625
APOBEC3C,-0.15266092433775302
TNXB,-0.1512149401236119
ITGBL1,-0.1510351411725648
IGF1,-0.15055398541637607
ERAP1,-0.15051689656878944
IL16,-0.14921170015317942
PDK4,-0.14862498857679246
ITGAX,-0.14783203479784143
PAM,-0.14666209834841842
SLFN11,-0.14621682356213686
CCL2,-0.1461926093984448
ALDH1A1,-0.14567581738789942
CXCL11,-0.14563815590839088
APOL2,-0.14496638497393916
RCAN1,-0.1447769692293277
AOC3,-0.1447368030858118
FYN,-0.14399040500579469
APOD,-0.14305088472653804
EPSTI1,-0.14205729133214867
ACSL5,-0.14193059136624597
LOXL1,-0.14140594700103018
ARHGAP31,-0.14106720184489632
DPYD,-0.14091474308140345
STAT5A,-0.1407878427729616
SLA,-0.139540435843413
NID2,-0.13947406984104743
LDHB,-0.13885590692896388
GLIPR1,-0.1373206421522738
RSAD2,-0.13699776552706336
SPI1,-0.1368904546001169
DSE,-0.13654012727356774
FILIP1L,-0.13650644928150713
PTN,-0.13643959618100304
MFAP2,-0.13572964592184744
STARD3,-0.13546996020050964
PLAUR,-0.13531684379991166
MRAS,-0.13530671774741115
ANTXR2,-0.13460196291187143
AKR1B1,-0.1341657096373734
HMHA1,-0.13386012589817017
CD34,-0.1338479694513803
FMNL2,-0.1337167119084315
ADD3,-0.1328087342226786
ARID5B,-0.13259670318294703
MYO1F,-0.13238397638967211
KIRREL,-0.13164563718800165
HMGA1,-0.13122933328808123
PMP22,-0.13079584464672162
FABP5,-0.1307783705222685
LAMA2,-0.13065721953274972
MAF,-0.13063541134293494
IFITM1,-0.12938620792112598
LOXL2,-0.12920843725832534
DARC,-0.1284295177776123
SYK,-0.1283937398326999
RCN3,-0.1272060159153901
CPVL,-0.12541568722605836
PIM1,-0.12511667562638215
BTG2,-0.12393781512412151
MX2,-0.1237083928439959
CCDC69,-0.12266481554082506
LRRC32,-0.12244845732123362
GPR124,-0.12182286721458002
WISP2,-0.12131466530954352
PTPN14,-0.12117626757949074
HCK,-0.12111809375945704
CCR5,-0.12048522061420823
RAI14,-0.12008283484989833
GJB2,-0.11931305588239058
SCARA3,-0.11872678639786108
GAS1,-0.11781270384135986
SEPP1,-0.11710006031512595
ADCY7,-0.1154527742840324
SLC7A7,-0.11523070646342468
AKT3,-0.11493690508028953
LAMP3,-0.11438787273615762
PPP1R15A,-0.1142830682454187
ADAM19,-0.113778238724189
GPSM3,-0.11340830822886627
GIMAP5,-0.11336885978729032
LIMD2,-0.11335767768369513
JAK3,-0.11335606253682631
TSPO,-0.11321337388702608
CPXM2,-0.11292198383885861
KIAA1462,-0.11275222336570792
GEM,-0.11220405639126224
RND3,-0.11126032725302827
ETS2,-0.11105278407571298
EMP3,-0.11066222514581596
NDRG2,-0.10952250124577918
AKAP12,-0.108586529771004
CCND2,-0.10800434013011662
GIMAP6,-0.10777428728637609
PFKP,-0.10772608272923669
DOCK11,-0.10704669149182824
MSRB3,-0.10663442327758682
WDFY4,-0.10649067307380435
ATP1B3,-0.10643028755607604
PLCG2,-0.10633170900552434
LPXN,-0.10631325166768724
GUCY1A3,-0.1054429267757715
PTGIS,-0.10536720151596447
RGS2,-0.10518809284745867
SLC1A3,-0.10460828339453528
SPON2,-0.10427190102169431
SVIL,-0.1042104823221265
VSIG4,-0.10412698394201199
C1QTNF6,-0.10351076826430242
NCF2,-0.10333770996328066
ATM,-0.10319191315451019
ENC1,-0.10279754191821144
FERMT2,-0.10242941415166174
MAP1B,-0.10219201493584537
ITM2A,-0.10172762423618949
ARHGAP25,-0.10131645133393334
PTPRM,-0.10100206408463519
CASP1,-0.10092295905279287
PRKD3,-0.10090973518038247
RCSD1,-0.10079647628837593
ZCCHC24,-0.10059241575947434
RGL1,-0.10033795575369055
ABCA1,-0.10032587681863783
