,Proliferation,,,
TCGA-D8-A1JU,-0.45680178,,,
TCGA-BH-A0HO,-0.201249969,,,
TCGA-A8-A0AB,0.138952586,,,
TCGA-AR-A0TQ,0.149607254,,,
TCGA-B6-A0RG,-0.260373866,,,
TCGA-B6-A0WW,-0.265275878,,,
TCGA-BH-A0GY,-0.174195729,,,
TCGA-AR-A24H,0.204359244,,,
TCGA-E2-A14R,0.03572827,,,
TCGA-AO-A0J5,-0.126404577,,,
TCGA-A2-A0D1,-0.082012209,,,
TCGA-B6-A0RN,-0.447219366,,,
TCGA-AC-A6IX,-0.448004925,,,
TCGA-AC-A3QQ,-0.435486326,,,
TCGA-BH-A0E9,-0.40663566,,,
TCGA-LD-A7W5,-0.329816473,,,
TCGA-AR-A24V,-0.183885358,,,
TCGA-A8-A08C,-0.218744413,,,
TCGA-AO-A1KT,-0.042811015,,,
TCGA-LL-A73Y,-0.321760047,,,
TCGA-B6-A0RH,-0.177591276,,,
TCGA-A7-A0DC,-0.193031335,,,
TCGA-A8-A082,-0.013225333,,,
TCGA-EW-A1J5,-0.011382313,,,
TCGA-BH-A0BC,-0.155460572,,,
TCGA-BH-A0HX,-0.223762371,,,
TCGA-BH-A0HQ,-0.474771847,,,
TCGA-A8-A08O,-0.246429805,,,
TCGA-A7-A5ZX,-0.481890113,,,
TCGA-A8-A08G,-0.050177328,,,
TCGA-E9-A1N8,0.035963739,,,
TCGA-OL-A6VO,0.083309294,,,
TCGA-A8-A07Z,-0.218560339,,,
TCGA-BH-A18T,0.176774496,,,
TCGA-A1-A0SI,0.047946746,,,
TCGA-BH-A42T,-0.023864651,,,
TCGA-AR-A0U2,0.118306491,,,
TCGA-A2-A0SY,-0.299999819,,,
TCGA-E9-A1N4,0.051629795,,,
TCGA-AC-A6IV,-0.407370057,,,
TCGA-D8-A3Z5,-0.448987108,,,
TCGA-BH-A1F8,0.052677252,,,
TCGA-AN-A0FF,-0.080234424,,,
TCGA-AR-A0TU,0.115654609,,,
TCGA-A8-A08L,0.041546427,,,
TCGA-A2-A1FX,0.10339122,,,
TCGA-A8-A06N,0.039833799,,,
TCGA-A2-A0EN,-0.450527979,,,
TCGA-MS-A51U,-0.53037953,,,
TCGA-OL-A5D8,-0.287187538,,,
TCGA-EW-A1P0,-0.159282205,,,
TCGA-AO-A0JF,-0.447340378,,,
TCGA-BH-A0BF,-0.265134539,,,
TCGA-E2-A14Q,-0.22853285,,,
TCGA-PL-A8LV,-0.11798715,,,
TCGA-BH-A1F6,-0.101263049,,,
TCGA-AN-A03X,-0.430435769,,,
TCGA-E2-A152,-0.165518443,,,
TCGA-A2-A0D0,0.110234923,,,
TCGA-AR-A24P,0.010093805,,,
TCGA-A8-A09G,0.07125969,,,
TCGA-C8-A1HN,0.170174629,,,
TCGA-AN-A0AR,-0.050449016,,,
TCGA-BH-A0DE,-0.447652022,,,
TCGA-A8-A075,0.001652878,,,
TCGA-A2-A4RW,-0.469542525,,,
TCGA-A8-A076,0.03632296,,,
TCGA-A1-A0SM,-0.141028051,,,
TCGA-B6-A408,-0.410182181,,,
TCGA-AR-A5QM,-0.434092599,,,
TCGA-BH-A0E1,-0.010284709,,,
TCGA-A2-A0ES,-0.453708889,,,
TCGA-B6-A0RU,0.092804337,,,
TCGA-E9-A249,0.097436345,,,
TCGA-D8-A1XZ,0.09264247,,,
TCGA-A2-A0CX,-0.036253092,,,
TCGA-D8-A27W,0.093187413,,,
TCGA-A2-A0YI,-0.4107773,,,
TCGA-A1-A0SB,-0.25509408,,,
TCGA-A2-A3KD,-0.318177313,,,
TCGA-B6-A1KI,-0.346092873,,,
TCGA-BH-A0DH,-0.242563596,,,
TCGA-S3-A6ZG,-0.000719983,,,
TCGA-AO-A0J6,0.083931236,,,
TCGA-E9-A1RC,0.07558285,,,
TCGA-AC-A3W5,-0.363685444,,,
TCGA-A2-A0ER,0.107748667,,,
TCGA-EW-A1PA,-0.18747769,,,
TCGA-A8-A07W,0.127797525,,,
TCGA-AR-A24X,-0.234450976,,,
TCGA-C8-A137,-0.011942303,,,
TCGA-A2-A0T3,0.124090955,,,
TCGA-E2-A1B1,0.006984163,,,
TCGA-BH-A0BS,-0.07743258,,,
TCGA-3C-AALJ,-0.361685338,,,
TCGA-D8-A1XJ,0.102192223,,,
TCGA-E9-A1R3,-0.338678764,,,
TCGA-A2-A0CO,-0.523150428,,,
TCGA-EW-A2FR,-0.223238986,,,
TCGA-AN-A0XV,-0.166021917,,,
TCGA-AO-A0J4,0.123550454,,,
TCGA-E2-A573,0.007077997,,,
TCGA-E9-A1NF,-0.419803325,,,
TCGA-PE-A5DE,-0.346252158,,,
TCGA-BH-A18J,-0.158006885,,,
TCGA-A2-A0EX,-0.483320922,,,
TCGA-EW-A1OY,-0.174571111,,,
TCGA-EW-A2FV,0.114456522,,,
TCGA-D8-A1XA,-0.186898701,,,
TCGA-E9-A2JS,-0.015154216,,,
TCGA-A7-A5ZW,-0.503177414,,,
TCGA-D8-A13Z,0.089487037,,,
TCGA-E2-A154,-0.214103331,,,
TCGA-D8-A146,-0.428989563,,,
TCGA-BH-A8G0,-0.549303188,,,
TCGA-E2-A14T,-0.009993067,,,
TCGA-D8-A143,0.103487989,,,
TCGA-A7-A13G,-0.277463673,,,
TCGA-A8-A07U,-0.055709611,,,
TCGA-AN-A03Y,0.068701932,,,
TCGA-AQ-A04H,0.145367058,,,
TCGA-OL-A97C,-0.417943686,,,
TCGA-E9-A1NG,-0.313348683,,,
TCGA-C8-A12L,0.07477118,,,
TCGA-AO-A03U,-0.370221069,,,
TCGA-AR-A0U4,0.074130982,,,
TCGA-E9-A227,-0.321586046,,,
TCGA-E9-A22E,-0.342686781,,,
TCGA-BH-A0DQ,-0.307173233,,,
TCGA-D8-A27I,-0.406487622,,,
TCGA-AO-A12D,-0.303178457,,,
TCGA-E2-A2P5,-0.031237241,,,
TCGA-A2-A0CW,0.07616246,,,
TCGA-EW-A1P3,-0.365061688,,,
TCGA-A2-A0T6,-0.384057015,,,
TCGA-A2-A25B,0.185063805,,,
TCGA-A8-A0A6,-0.443121988,,,
TCGA-A2-A3XT,0.009093597,,,
TCGA-AN-A0FZ,0.05769618,,,
TCGA-JL-A3YX,-0.076812545,,,
TCGA-B6-A0IJ,0.144098861,,,
TCGA-E2-A10E,-0.132117652,,,
TCGA-C8-A26Y,0.01475344,,,
TCGA-EW-A1J1,-0.1119789,,,
TCGA-AR-A0TP,0.051821577,,,
TCGA-E2-A3DX,-0.444844541,,,
TCGA-B6-A0WY,-0.36083802,,,
TCGA-A8-A09R,-0.090975796,,,
TCGA-EW-A1PG,-0.476519522,,,
TCGA-A7-A4SD,-0.132648835,,,
TCGA-BH-A0H0,0.083397824,,,
TCGA-AO-A03M,0.109819301,,,
TCGA-A2-A4RX,-0.287051557,,,
TCGA-D8-A1XB,-0.376301816,,,
TCGA-EW-A1PB,-0.063304934,,,
TCGA-AQ-A1H2,-0.263944439,,,
TCGA-D8-A27H,-0.125278882,,,
TCGA-AC-A3W7,-0.414816372,,,
TCGA-BH-A0H6,-0.407636884,,,
TCGA-AN-A0XW,-0.080775514,,,
TCGA-E2-A15K,-0.013906947,,,
TCGA-EW-A424,-0.297887185,,,
TCGA-E9-A226,0.068225177,,,
TCGA-A8-A07O,0.155371997,,,
TCGA-AO-A1KS,0.11590991,,,
TCGA-A8-A0A7,-0.263876988,,,
TCGA-D8-A27E,-0.376057487,,,
TCGA-A2-A0T4,-0.343532391,,,
TCGA-A8-A099,-0.19366777,,,
TCGA-E2-A108,-0.372585124,,,
TCGA-C8-A133,-0.351977546,,,
TCGA-E2-A14P,0.087051176,,,
TCGA-D8-A1XD,-0.118803532,,,
TCGA-B6-A0RP,-0.384325823,,,
TCGA-EW-A1PH,0.011114229,,,
TCGA-E2-A15L,0.036826848,,,
TCGA-B6-A0IG,-0.012881177,,,
TCGA-A8-A0A2,-0.270906816,,,
TCGA-B6-A0IH,-0.530448756,,,
TCGA-BH-A1FH,-0.40917462,,,
TCGA-AR-A2LR,-0.01174084,,,
TCGA-LD-A9QF,-0.426682068,,,
TCGA-BH-A1FM,0.096595824,,,
TCGA-AO-A128,0.089015867,,,
TCGA-BH-A18F,-0.069002995,,,
TCGA-D8-A1XV,-0.199735682,,,
TCGA-EW-A1OZ,-0.013346056,,,
TCGA-BH-A0W3,-0.065933673,,,
TCGA-BH-A1EN,-0.124808646,,,
TCGA-EW-A1IW,0.117079787,,,
TCGA-A2-A3XY,-0.002743958,,,
TCGA-BH-A1EV,-0.105232254,,,
TCGA-A7-A0D9,-0.37772304,,,
TCGA-AC-A3EH,-0.286901857,,,
TCGA-AN-A04A,-0.13648669,,,
TCGA-Z7-A8R6,0.062005682,,,
TCGA-AO-A129,-0.039643751,,,
TCGA-AR-A1AI,0.109911995,,,
TCGA-E9-A1N9,0.054617905,,,
TCGA-AN-A0FN,-0.385147066,,,
TCGA-B6-A0RI,0.031538032,,,
TCGA-E2-A1IO,-0.405498035,,,
TCGA-AR-A0TV,-0.037634234,,,
TCGA-D8-A27M,-0.104915218,,,
TCGA-BH-A0BL,0.002996443,,,
TCGA-EW-A1P6,-0.31939642,,,
TCGA-AN-A0XU,0.086001845,,,
TCGA-AR-A1AP,-0.2939252,,,
TCGA-A2-A0YJ,0.042146636,,,
TCGA-A7-A426,-0.381571789,,,
TCGA-AR-A1AT,-0.204508118,,,
TCGA-E2-A1IN,-0.16619853,,,
TCGA-BH-A0AV,0.089079182,,,
TCGA-LD-A74U,-0.465632136,,,
TCGA-D8-A1X8,-0.232036276,,,
TCGA-AN-A0FD,-0.221057331,,,
TCGA-BH-A0E0,-0.20707053,,,
TCGA-BH-A18N,-0.219649122,,,
TCGA-A2-A0CU,-0.153112014,,,
TCGA-EW-A1IY,-0.011835651,,,
TCGA-E9-A2JT,-0.386193603,,,
TCGA-AC-A2BK,0.123632626,,,
TCGA-E2-A15D,-0.405817238,,,
TCGA-BH-A6R9,-0.384779537,,,
TCGA-A2-A0D2,0.125358343,,,
TCGA-AC-A62X,-0.044426241,,,
TCGA-A8-A09C,0.024671813,,,
TCGA-BH-A0BV,-0.198445212,,,
TCGA-BH-A0W7,-0.315903952,,,
TCGA-B6-A0IB,-0.079819506,,,
TCGA-E2-A1L6,-0.272685313,,,
TCGA-AN-A0G0,0.151755098,,,
TCGA-C8-A26X,-0.228660847,,,
TCGA-BH-A0H7,-0.169680555,,,
TCGA-A7-A3IY,-0.322859699,,,
TCGA-AR-A2LH,-0.384335841,,,
TCGA-E2-A107,-0.006524714,,,
TCGA-E9-A244,0.08034562,,,
TCGA-AR-A5QN,-0.289460144,,,
TCGA-AC-A6IW,-0.024476381,,,
TCGA-GI-A2C9,-0.118339291,,,
TCGA-A8-A06R,-0.096925774,,,
TCGA-W8-A86G,-0.503427054,,,
TCGA-GM-A3XN,-0.454827382,,,
TCGA-4H-AAAK,-0.367732189,,,
TCGA-EW-A3U0,-0.134804191,,,
TCGA-AC-A2FO,-0.455783742,,,
TCGA-E2-A1IG,-0.31476659,,,
TCGA-S3-AA12,-0.171618788,,,
TCGA-B6-A0WV,0.025580768,,,
TCGA-A7-A4SF,-0.174174424,,,
TCGA-D8-A1XY,-0.358803279,,,
TCGA-A7-A13D,-0.013276784,,,
TCGA-A1-A0SF,-0.396222935,,,
TCGA-E2-A1IU,-0.390602686,,,
TCGA-E2-A158,-0.027748413,,,
TCGA-E2-A14V,0.153961195,,,
TCGA-AC-A3OD,-0.122473022,,,
TCGA-AR-A0TY,0.098765862,,,
TCGA-AR-A24W,-0.390568356,,,
TCGA-E2-A15T,0.106800278,,,
TCGA-A7-A425,-0.309094942,,,
TCGA-AQ-A0Y5,-0.294218376,,,
TCGA-AC-A8OQ,-0.265461503,,,
TCGA-BH-A0BR,-0.318717885,,,
TCGA-BH-A0HI,-0.393020186,,,
TCGA-GM-A2DM,-0.373023653,,,
TCGA-A2-A1G0,-0.398746415,,,
TCGA-AQ-A04J,0.02736572,,,
TCGA-AN-A0AK,0.148719473,,,
TCGA-A8-A06O,0.045105664,,,
TCGA-D8-A1XG,-0.233144407,,,
TCGA-B6-A402,-0.039042059,,,
TCGA-GM-A2DI,-0.461107421,,,
TCGA-EW-A1IX,-0.464132691,,,
TCGA-A8-A095,0.107522448,,,
TCGA-A8-A06Z,0.060032004,,,
TCGA-A1-A0SD,-0.381125895,,,
TCGA-A7-A0CG,-0.358682632,,,
TCGA-A2-A25E,0.124062612,,,
TCGA-A7-A13F,0.012957178,,,
TCGA-A8-A07C,0.167691218,,,
TCGA-D8-A1JH,-0.349107054,,,
TCGA-A2-A04N,-0.433056819,,,
TCGA-LL-A442,-0.064485019,,,
TCGA-C8-A130,-0.006794307,,,
TCGA-JL-A3YW,-0.271565503,,,
TCGA-BH-A0AY,-0.288788463,,,
TCGA-A2-A0EY,-0.215357589,,,
TCGA-AQ-A7U7,-0.422587534,,,
TCGA-BH-A208,-0.414560647,,,
TCGA-OL-A5RY,-0.338591192,,,
TCGA-B6-A40B,-0.280088774,,,
TCGA-BH-A42V,-0.436172957,,,
TCGA-E2-A105,-0.058805615,,,
TCGA-BH-A0BZ,0.006538381,,,
TCGA-AC-A2FK,-0.459746915,,,
TCGA-A8-A06P,-0.423599118,,,
TCGA-B6-A0IP,-0.067018816,,,
TCGA-D8-A27F,0.157623762,,,
TCGA-AN-A0FX,-0.023748605,,,
TCGA-PE-A5DD,-0.381295887,,,
TCGA-AN-A0XN,-0.358433518,,,
TCGA-E9-A1NA,-0.011265059,,,
TCGA-AC-A2FB,-0.37416659,,,
TCGA-LL-A73Z,-0.38593196,,,
TCGA-A7-A26F,-0.134388511,,,
TCGA-AC-A23E,-0.255809682,,,
TCGA-A2-A1FW,0.118973981,,,
TCGA-EW-A6SC,-0.216225495,,,
TCGA-AR-A5QP,-0.378265528,,,
TCGA-D8-A1XC,-0.311771906,,,
TCGA-EW-A1P5,-0.184536233,,,
