,Stemness,,,,,,,,,
TCGA-55-8096,-0.118535244,,,,,,,,,
TCGA-97-7937,-0.053641121,,,,,,,,,
TCGA-67-3770,-0.218680689,,,,,,,,,
TCGA-91-8499,0.410807197,,,,,,,,,
TCGA-49-4510,-0.322850033,,,,,,,,,
TCGA-91-6829,0.346732257,,,,,,,,,
TCGA-55-7724,0.016956381,,,,,,,,,
TCGA-86-7714,-0.345426799,,,,,,,,,
TCGA-67-3773,-0.163444843,,,,,,,,,
TCGA-86-A4JF,0.226818643,,,,,,,,,
TCGA-75-5146,-0.100836254,,,,,,,,,
TCGA-49-AAR3,-0.073044193,,,,,,,,,
TCGA-MP-A4TC,0.163510005,,,,,,,,,
TCGA-55-1592,0.205798576,,,,,,,,,
TCGA-99-7458,0.076813795,,,,,,,,,
TCGA-44-2668,0.418035314,,,,,,,,,
TCGA-55-7227,-0.161206271,,,,,,,,,
TCGA-75-6206,-0.344615875,,,,,,,,,
TCGA-55-8206,-0.222259932,,,,,,,,,
TCGA-55-6981,-0.341594283,,,,,,,,,
TCGA-35-3615,-0.098397991,,,,,,,,,
TCGA-L9-A5IP,0.007516928,,,,,,,,,
TCGA-97-7938,-0.272714615,,,,,,,,,
TCGA-MP-A4T9,-0.207910675,,,,,,,,,
TCGA-53-A4EZ,-0.13160863,,,,,,,,,
TCGA-55-6987,0.345929271,,,,,,,,,
TCGA-97-7546,-0.072721289,,,,,,,,,
TCGA-91-6835,0.015450656,,,,,,,,,
TCGA-93-A4JO,-0.355930263,,,,,,,,,
TCGA-50-5946,0.15767267,,,,,,,,,
TCGA-75-6214,0.147274324,,,,,,,,,
TCGA-75-6205,0.151177028,,,,,,,,,
TCGA-44-3917,0.384519148,,,,,,,,,
TCGA-78-7633,-0.119355545,,,,,,,,,
TCGA-55-6983,-0.123587368,,,,,,,,,
TCGA-86-A4P7,-0.389002412,,,,,,,,,
TCGA-MP-A4SV,-0.003123308,,,,,,,,,
TCGA-91-8496,-0.281244463,,,,,,,,,
TCGA-97-A4M6,-0.319491014,,,,,,,,,
TCGA-55-6984,-0.331151725,,,,,,,,,
TCGA-86-8056,-0.321610652,,,,,,,,,
TCGA-97-7554,0.195631893,,,,,,,,,
TCGA-44-6776,-0.51378067,,,,,,,,,
TCGA-62-A46R,-0.133679237,,,,,,,,,
TCGA-62-A46V,-0.2311602,,,,,,,,,
TCGA-38-7271,-0.137478965,,,,,,,,,
TCGA-49-AARE,-0.190341985,,,,,,,,,
TCGA-67-6215,-0.022127528,,,,,,,,,
TCGA-55-8085,0.205374566,,,,,,,,,
TCGA-78-7539,-0.119681167,,,,,,,,,
TCGA-73-4668,0.136802899,,,,,,,,,
TCGA-44-2659,-0.041889459,,,,,,,,,
TCGA-91-6828,-0.129719086,,,,,,,,,
TCGA-78-7150,0.193341832,,,,,,,,,
TCGA-55-A4DG,-0.404471337,,,,,,,,,
TCGA-J2-A4AE,-0.227879305,,,,,,,,,
TCGA-05-5420,0.19754244,,,,,,,,,
TCGA-99-8025,-0.283108703,,,,,,,,,
TCGA-MP-A5C7,-0.389912887,,,,,,,,,
TCGA-97-8177,-0.124773302,,,,,,,,,
TCGA-83-5908,0.418127835,,,,,,,,,
TCGA-69-7764,-0.407912029,,,,,,,,,
TCGA-50-5941,0.136239172,,,,,,,,,
TCGA-86-8358,0.181533265,,,,,,,,,
TCGA-78-7537,-0.208272469,,,,,,,,,
TCGA-97-7552,-0.230414374,,,,,,,,,
TCGA-05-4433,-0.236751965,,,,,,,,,
TCGA-55-8299,0.319328765,,,,,,,,,
TCGA-49-6742,-0.135875382,,,,,,,,,
TCGA-55-7281,-0.227762184,,,,,,,,,
TCGA-73-4677,-0.260665756,,,,,,,,,
TCGA-62-8395,-0.372164407,,,,,,,,,
TCGA-MP-A4TE,-0.310609285,,,,,,,,,
TCGA-97-8547,-0.383918323,,,,,,,,,
TCGA-55-A48Z,-0.105290678,,,,,,,,,
TCGA-50-6593,-0.083614778,,,,,,,,,
TCGA-55-7574,-0.31466127,,,,,,,,,
TCGA-55-6712,-0.182250207,,,,,,,,,
TCGA-93-7347,-0.090642367,,,,,,,,,
TCGA-91-A4BC,0.030098592,,,,,,,,,
TCGA-55-8301,0.285201882,,,,,,,,,
TCGA-95-8494,-0.003100843,,,,,,,,,
TCGA-MP-A4TK,-0.074984019,,,,,,,,,
TCGA-97-8172,-0.206638254,,,,,,,,,
TCGA-86-8674,-0.382410651,,,,,,,,,
TCGA-86-8671,-0.294459426,,,,,,,,,
TCGA-44-A4SU,-0.456418268,,,,,,,,,
TCGA-05-4424,0.315400996,,,,,,,,,
TCGA-55-7815,0.105575722,,,,,,,,,
TCGA-50-6592,0.386254083,,,,,,,,,
TCGA-69-7973,0.279289426,,,,,,,,,
TCGA-95-7043,-0.197512389,,,,,,,,,
TCGA-49-4488,-0.163622168,,,,,,,,,
TCGA-44-2662,0.444463214,,,,,,,,,
TCGA-62-8399,0.058224922,,,,,,,,,
TCGA-50-5933,0.396585503,,,,,,,,,
TCGA-49-AARO,-0.398202305,,,,,,,,,
TCGA-MP-A4T8,-0.065388126,,,,,,,,,
TCGA-50-5936,0.026693363,,,,,,,,,
TCGA-86-7701,0.002668141,,,,,,,,,
TCGA-91-6840,-0.10313003,,,,,,,,,
TCGA-86-8280,-0.258521932,,,,,,,,,
TCGA-86-7711,0.384831206,,,,,,,,,
TCGA-05-4398,0.190613321,,,,,,,,,
TCGA-91-7771,-0.067472104,,,,,,,,,
TCGA-69-7765,0.078018923,,,,,,,,,
TCGA-MP-A4SW,-0.342126528,,,,,,,,,
TCGA-05-5428,0.228071644,,,,,,,,,
TCGA-50-5935,-0.237444372,,,,,,,,,
TCGA-62-8402,0.307637768,,,,,,,,,
TCGA-73-4662,-0.064707589,,,,,,,,,
TCGA-75-6211,-0.000267167,,,,,,,,,
TCGA-55-8514,-0.450380393,,,,,,,,,
TCGA-69-8253,-0.19467825,,,,,,,,,
TCGA-97-A4M1,-0.403799619,,,,,,,,,
TCGA-55-8505,-0.162649442,,,,,,,,,
TCGA-50-6590,0.337003153,,,,,,,,,
TCGA-75-6207,0.11225007,,,,,,,,,
TCGA-53-7626,0.132244283,,,,,,,,,
TCGA-44-7672,0.175372735,,,,,,,,,
TCGA-75-5122,0.232169746,,,,,,,,,
TCGA-05-4402,0.241395938,,,,,,,,,
TCGA-69-7763,-0.328516696,,,,,,,,,
TCGA-05-4426,-0.05605956,,,,,,,,,
TCGA-78-8660,-0.005508821,,,,,,,,,
TCGA-NJ-A4YP,0.160239759,,,,,,,,,
TCGA-44-7662,0.366727541,,,,,,,,,
TCGA-73-7499,0.29963022,,,,,,,,,
TCGA-55-8508,-0.296603984,,,,,,,,,
TCGA-78-7160,0.094912094,,,,,,,,,
TCGA-MP-A4T6,-0.411526004,,,,,,,,,
TCGA-64-1680,-0.238027301,,,,,,,,,
TCGA-05-4384,-0.468097153,,,,,,,,,
TCGA-55-A491,-0.071364485,,,,,,,,,
TCGA-55-6979,0.121075231,,,,,,,,,
TCGA-55-6971,-0.187773003,,,,,,,,,
TCGA-MP-A4T4,-0.006598524,,,,,,,,,
TCGA-86-6851,0.112053524,,,,,,,,,
TCGA-49-4487,0.192408121,,,,,,,,,
TCGA-50-5944,-0.237041979,,,,,,,,,
TCGA-MP-A4TF,-0.225486021,,,,,,,,,
TCGA-64-5774,0.080280401,,,,,,,,,
TCGA-86-A4P8,-0.276306316,,,,,,,,,
TCGA-MN-A4N4,-0.302018367,,,,,,,,,
TCGA-44-6145,-0.077234397,,,,,,,,,
TCGA-69-7974,0.311131846,,,,,,,,,
TCGA-44-6779,-0.087272757,,,,,,,,,
TCGA-78-7155,0.425162957,,,,,,,,,
TCGA-50-5932,-0.216566584,,,,,,,,,
TCGA-NJ-A4YF,-0.35013998,,,,,,,,,
TCGA-62-A46Y,-0.109964273,,,,,,,,,
TCGA-38-4630,0.387772362,,,,,,,,,
TCGA-55-A57B,-0.362185688,,,,,,,,,
TCGA-44-A47G,-0.105314582,,,,,,,,,
TCGA-05-4417,-0.022771884,,,,,,,,,
TCGA-44-8119,0.278015763,,,,,,,,,
TCGA-62-A46O,0.099476984,,,,,,,,,
TCGA-J2-A4AD,-0.214466271,,,,,,,,,
TCGA-50-5072,0.225972967,,,,,,,,,
TCGA-44-2655,-0.082640817,,,,,,,,,
TCGA-55-1594,0.367096536,,,,,,,,,
TCGA-91-6831,0.242440357,,,,,,,,,
TCGA-55-A494,-0.33810001,,,,,,,,,
TCGA-50-5066,0.369094807,,,,,,,,,
TCGA-78-7147,-0.068019382,,,,,,,,,
TCGA-86-8054,0.339121172,,,,,,,,,
TCGA-05-4434,0.330912595,,,,,,,,,
TCGA-55-A48Y,0.275443696,,,,,,,,,
TCGA-86-8076,-0.211129145,,,,,,,,,
TCGA-NJ-A7XG,-0.406103276,,,,,,,,,
TCGA-95-7567,0.24770399,,,,,,,,,
TCGA-73-4658,0.159736208,,,,,,,,,
TCGA-55-7910,-0.202700565,,,,,,,,,
TCGA-97-A4M0,-0.433609786,,,,,,,,,
TCGA-97-A4M5,-0.321948417,,,,,,,,,
TCGA-75-5126,0.084227913,,,,,,,,,
TCGA-78-7540,-0.35309344,,,,,,,,,
TCGA-67-4679,-0.359345309,,,,,,,,,
TCGA-55-6980,-0.414132478,,,,,,,,,
TCGA-80-5607,-0.272858758,,,,,,,,,
TCGA-J2-8194,-0.266261197,,,,,,,,,
TCGA-38-6178,-0.267031321,,,,,,,,,
TCGA-49-AAR4,-0.370926983,,,,,,,,,
TCGA-MP-A4TJ,-0.239247892,,,,,,,,,
TCGA-55-7576,0.229441843,,,,,,,,,
TCGA-MP-A4T7,-0.223240871,,,,,,,,,
TCGA-L4-A4E5,-0.187478823,,,,,,,,,
TCGA-75-5147,0.365450074,,,,,,,,,
TCGA-44-5643,0.260942109,,,,,,,,,
TCGA-86-A456,-0.36812924,,,,,,,,,
TCGA-86-8668,-0.391594567,,,,,,,,,
TCGA-55-7728,-0.373654364,,,,,,,,,
TCGA-75-7030,-0.442545968,,,,,,,,,
TCGA-62-8397,-0.455088507,,,,,,,,,
TCGA-38-4632,0.155420946,,,,,,,,,
TCGA-99-8032,-0.090506543,,,,,,,,,
TCGA-62-A472,-0.2440507,,,,,,,,,
TCGA-95-7039,-0.121707099,,,,,,,,,
TCGA-MP-A4SY,-0.112636688,,,,,,,,,
TCGA-05-4244,0.112018444,,,,,,,,,
TCGA-44-8120,-0.202321256,,,,,,,,,
