,Stemness,,,,
TCGA-E9-A1NF,-0.180436484,,,,
TCGA-PE-A5DE,-0.191213545,,,,
TCGA-BH-A18J,0.077028258,,,,
TCGA-A2-A0EX,-0.15301651,,,,
TCGA-EW-A1OY,-0.245658571,,,,
TCGA-EW-A2FV,0.136506758,,,,
TCGA-D8-A1XA,-0.381040346,,,,
TCGA-E9-A2JS,-0.073558017,,,,
TCGA-A7-A5ZW,-0.242763003,,,,
TCGA-D8-A13Z,0.343133093,,,,
TCGA-E2-A154,-0.204019453,,,,
TCGA-D8-A146,-0.280658456,,,,
TCGA-BH-A8G0,-0.409008921,,,,
TCGA-E2-A14T,-0.25949916,,,,
TCGA-D8-A143,0.264405508,,,,
TCGA-A7-A13G,-0.156399976,,,,
TCGA-A8-A07U,0.195101357,,,,
TCGA-AN-A03Y,0.060884115,,,,
TCGA-AQ-A04H,0.029523635,,,,
TCGA-OL-A97C,-0.292534087,,,,
TCGA-E9-A1NG,0.264608984,,,,
TCGA-C8-A12L,0.181362283,,,,
TCGA-AO-A03U,0.063060979,,,,
TCGA-AR-A0U4,0.299631386,,,,
TCGA-E9-A227,0.025707168,,,,
TCGA-E9-A22E,0.098626064,,,,
TCGA-BH-A0DQ,-0.197660728,,,,
TCGA-D8-A27I,-0.112147218,,,,
TCGA-AO-A12D,0.086861271,,,,
TCGA-E2-A2P5,-0.059205131,,,,
TCGA-A2-A0CW,0.117043481,,,,
TCGA-EW-A1P3,-0.403577766,,,,
TCGA-A2-A0T6,-0.094946012,,,,
TCGA-A2-A25B,0.322265707,,,,
TCGA-A8-A0A6,-0.092891395,,,,
TCGA-A2-A3XT,0.089700544,,,,
TCGA-AN-A0FZ,-0.204978683,,,,
TCGA-JL-A3YX,-0.246029853,,,,
TCGA-B6-A0IJ,0.32112964,,,,
TCGA-E2-A10E,0.077504607,,,,
TCGA-C8-A26Y,-0.231434572,,,,
TCGA-EW-A1J1,-0.168201979,,,,
TCGA-AR-A0TP,-0.068072727,,,,
TCGA-E2-A3DX,-0.316676278,,,,
TCGA-B6-A0WY,-0.199261994,,,,
TCGA-A8-A09R,0.112003528,,,,
TCGA-EW-A1PG,-0.186241266,,,,
TCGA-A7-A4SD,0.008824494,,,,
TCGA-BH-A0H0,-0.033158955,,,,
TCGA-AO-A03M,0.153973125,,,,
TCGA-A2-A4RX,-0.225022661,,,,
TCGA-D8-A1XB,-0.27552398,,,,
TCGA-EW-A1PB,0.243328125,,,,
TCGA-AQ-A1H2,-0.202589373,,,,
TCGA-D8-A27H,-0.133727816,,,,
TCGA-AC-A3W7,-0.442586755,,,,
TCGA-BH-A0H6,-0.373167005,,,,
TCGA-AN-A0XW,0.224153661,,,,
TCGA-E2-A15K,-0.185268649,,,,
TCGA-EW-A424,-0.369266815,,,,
TCGA-E9-A226,0.275906052,,,,
TCGA-A8-A07O,0.29935829,,,,
TCGA-AO-A1KS,0.298244223,,,,
TCGA-A8-A0A7,0.05900807,,,,
TCGA-D8-A27E,-0.156135475,,,,
TCGA-A2-A0T4,0.04498888,,,,
TCGA-A8-A099,0.128940848,,,,
TCGA-E2-A108,0.018178818,,,,
TCGA-C8-A133,-0.342548031,,,,
TCGA-E2-A14P,0.074384581,,,,
TCGA-D8-A1XD,-0.194575158,,,,
TCGA-B6-A0RP,-0.236108357,,,,
TCGA-EW-A1PH,0.289447855,,,,
TCGA-E2-A15L,0.142471518,,,,
TCGA-B6-A0IG,-0.215402465,,,,
TCGA-A8-A0A2,-0.128072559,,,,
TCGA-B6-A0IH,-0.335396008,,,,
TCGA-BH-A1FH,-0.126599254,,,,
TCGA-AR-A2LR,0.220686343,,,,
TCGA-LD-A9QF,-0.154512956,,,,
TCGA-BH-A1FM,0.303914395,,,,
TCGA-AO-A128,0.227432477,,,,
TCGA-BH-A18F,0.102956216,,,,
TCGA-D8-A1XV,-0.21664365,,,,
TCGA-EW-A1OZ,0.132549718,,,,
TCGA-BH-A0W3,-0.179597564,,,,
TCGA-BH-A1EN,0.070812765,,,,
TCGA-EW-A1IW,0.184524844,,,,
TCGA-A2-A3XY,0.09800723,,,,
TCGA-BH-A1EV,-0.011535128,,,,
TCGA-A7-A0D9,-0.35029291,,,,
TCGA-AC-A3EH,-0.33918841,,,,
TCGA-AN-A04A,-0.000517519,,,,
TCGA-Z7-A8R6,-0.071684991,,,,
TCGA-AO-A129,0.17435189,,,,
TCGA-AR-A1AI,0.379699275,,,,
TCGA-E9-A1N9,0.269998218,,,,
TCGA-AN-A0FN,0.136372563,,,,
TCGA-B6-A0RI,-0.091008777,,,,
TCGA-E2-A1IO,-0.38182536,,,,
TCGA-AR-A0TV,-0.04357766,,,,
TCGA-D8-A27M,0.09163194,,,,
TCGA-BH-A0BL,0.365299461,,,,
TCGA-EW-A1P6,-0.332238827,,,,
TCGA-AN-A0XU,0.348927909,,,,
TCGA-AR-A1AP,-0.339880062,,,,
TCGA-A2-A0YJ,0.112141696,,,,
TCGA-A7-A426,-0.459068268,,,,
TCGA-AR-A1AT,0.065414134,,,,
TCGA-E2-A1IN,0.118942807,,,,
TCGA-BH-A0AV,0.353033219,,,,
TCGA-LD-A74U,-0.325560304,,,,
TCGA-D8-A1X8,0.145720109,,,,
TCGA-AN-A0FD,-0.092488912,,,,
TCGA-BH-A0E0,-0.136570618,,,,
TCGA-BH-A18N,-0.278432256,,,,
TCGA-A2-A0CU,-0.265795602,,,,
TCGA-EW-A1IY,0.398001313,,,,
TCGA-E9-A2JT,-0.226838838,,,,
TCGA-AC-A2BK,0.194908795,,,,
TCGA-E2-A15D,-0.411068828,,,,
TCGA-BH-A6R9,0.095571324,,,,
TCGA-A2-A0D2,0.358561889,,,,
TCGA-AC-A62X,0.034289149,,,,
TCGA-A8-A09C,-0.17504843,,,,
TCGA-BH-A0BV,-0.100602436,,,,
TCGA-BH-A0W7,0.049822887,,,,
TCGA-B6-A0IB,-0.355850643,,,,
TCGA-E2-A1L6,-0.18031991,,,,
TCGA-AN-A0G0,0.312589495,,,,
TCGA-C8-A26X,0.149774081,,,,
TCGA-BH-A0H7,-0.020776712,,,,
TCGA-A7-A3IY,0.087049752,,,,
TCGA-AR-A2LH,-0.166098994,,,,
TCGA-E2-A107,-0.307145755,,,,
TCGA-E9-A244,0.229223645,,,,
TCGA-AR-A5QN,-0.228098596,,,,
TCGA-AC-A6IW,0.274386855,,,,
TCGA-GI-A2C9,0.070704556,,,,
TCGA-A8-A06R,0.145073356,,,,
TCGA-W8-A86G,-0.534399202,,,,
TCGA-GM-A3XN,-0.373441878,,,,
TCGA-4H-AAAK,-0.250987213,,,,
TCGA-EW-A3U0,0.08602831,,,,
TCGA-AC-A2FO,-0.236102298,,,,
TCGA-E2-A1IG,-0.25509121,,,,
TCGA-S3-AA12,-0.38157515,,,,
TCGA-B6-A0WV,-0.131060895,,,,
TCGA-A7-A4SF,-0.397052591,,,,
TCGA-D8-A1XY,-0.159734119,,,,
TCGA-A7-A13D,0.10935773,,,,
TCGA-A1-A0SF,-0.328452911,,,,
TCGA-E2-A1IU,-0.402903124,,,,
TCGA-E2-A158,-0.052788159,,,,
TCGA-E2-A14V,0.11286838,,,,
TCGA-AC-A3OD,0.13558891,,,,
TCGA-AR-A0TY,0.113382813,,,,
TCGA-AR-A24W,-0.302121438,,,,
TCGA-E2-A15T,-0.052700883,,,,
TCGA-A7-A425,-0.409600489,,,,
TCGA-AQ-A0Y5,0.111900829,,,,
TCGA-AC-A8OQ,-0.180405597,,,,
TCGA-BH-A0BR,-0.075305653,,,,
TCGA-BH-A0HI,-0.110612106,,,,
TCGA-GM-A2DM,-0.276549413,,,,
TCGA-A2-A1G0,-0.295426129,,,,
TCGA-AQ-A04J,0.366092847,,,,
TCGA-AN-A0AK,0.246648688,,,,
TCGA-A8-A06O,-0.052465746,,,,
TCGA-D8-A1XG,-0.374859669,,,,
TCGA-B6-A402,-0.098674725,,,,
TCGA-GM-A2DI,-0.224742559,,,,
TCGA-EW-A1IX,-0.323125067,,,,
TCGA-A8-A095,0.301776609,,,,
TCGA-A8-A06Z,-0.106453998,,,,
TCGA-A1-A0SD,-0.221956185,,,,
TCGA-A7-A0CG,0.141739917,,,,
TCGA-A2-A25E,0.21248767,,,,
TCGA-A7-A13F,0.096289542,,,,
TCGA-A8-A07C,0.419988216,,,,
TCGA-D8-A1JH,0.023273238,,,,
TCGA-A2-A04N,-0.340945299,,,,
TCGA-LL-A442,-0.097117205,,,,
TCGA-C8-A130,0.022709031,,,,
TCGA-JL-A3YW,0.039774211,,,,
TCGA-BH-A0AY,0.093707891,,,,
TCGA-A2-A0EY,-0.288261189,,,,
TCGA-AQ-A7U7,-0.237385058,,,,
TCGA-BH-A208,0.091367196,,,,
