,Proliferation,,,,,,,,
TCGA-86-8280,-0.350124058,,,,,,,,
TCGA-86-7711,0.126723573,,,,,,,,
TCGA-05-4398,0.153570118,,,,,,,,
TCGA-91-7771,-0.396806475,,,,,,,,
TCGA-69-7765,-0.330702876,,,,,,,,
TCGA-MP-A4SW,-0.273961573,,,,,,,,
TCGA-05-5428,-0.19329913,,,,,,,,
TCGA-50-5935,-0.4456985,,,,,,,,
TCGA-62-8402,0.076723406,,,,,,,,
TCGA-73-4662,0.035775277,,,,,,,,
TCGA-75-6211,-0.017375263,,,,,,,,
TCGA-55-8514,-0.44972091,,,,,,,,
TCGA-69-8253,-0.223187966,,,,,,,,
TCGA-97-A4M1,-0.455503595,,,,,,,,
TCGA-55-8505,-0.194609267,,,,,,,,
TCGA-50-6590,0.072825045,,,,,,,,
TCGA-75-6207,0.091802008,,,,,,,,
TCGA-53-7626,-0.067738529,,,,,,,,
TCGA-44-7672,-0.079018809,,,,,,,,
TCGA-75-5122,-0.205406367,,,,,,,,
TCGA-05-4402,0.05426274,,,,,,,,
TCGA-69-7763,-0.430826815,,,,,,,,
TCGA-05-4426,-0.007685781,,,,,,,,
TCGA-78-8660,-0.047093949,,,,,,,,
TCGA-NJ-A4YP,0.116516625,,,,,,,,
TCGA-44-7662,0.165996036,,,,,,,,
TCGA-73-7499,0.061205716,,,,,,,,
TCGA-55-8508,-0.384409116,,,,,,,,
TCGA-78-7160,-0.223456074,,,,,,,,
TCGA-MP-A4T6,-0.339628025,,,,,,,,
TCGA-64-1680,-0.347062151,,,,,,,,
TCGA-05-4384,-0.468220152,,,,,,,,
TCGA-55-A491,-0.270244437,,,,,,,,
TCGA-55-6979,-0.253883939,,,,,,,,
TCGA-55-6971,-0.377284586,,,,,,,,
TCGA-MP-A4T4,-0.130928504,,,,,,,,
TCGA-86-6851,0.038808106,,,,,,,,
TCGA-49-4487,-0.093398727,,,,,,,,
TCGA-50-5944,-0.352516054,,,,,,,,
TCGA-MP-A4TF,-0.103680008,,,,,,,,
TCGA-64-5774,0.060481243,,,,,,,,
TCGA-86-A4P8,-0.448649983,,,,,,,,
TCGA-MN-A4N4,-0.280103226,,,,,,,,
TCGA-44-6145,-0.201150848,,,,,,,,
TCGA-69-7974,0.149209074,,,,,,,,
TCGA-44-6779,-0.091902184,,,,,,,,
TCGA-78-7155,0.16122433,,,,,,,,
TCGA-50-5932,0.020209984,,,,,,,,
